Diarienummer;Sîkbegrepp
M-1993-1377;LUNDS 1:4 TINGSTéDE
M-1993-1381;KROKS 1:34 TOFTA
M-1993-1382;KROKSTéDE 1:274 TOFTA
M-1993-1383;LUNDERHAGE 1:47 FLERINGE
M-1993-1385;LUNDERHAGE 1:49 FLERINGE
M-1993-1386;LUNDERHAGE 1:19 FLERINGE
M-1993-1388;MALLGèRDS 1:4 LEVIDE
M-1993-1390;ROMAKLOSTER 1:77 ROMA
M-1993-1391;KROKSTéDE 1:274 TOFTA
M-1993-1392;TéNGLINGS 3:1 ETELHEM
M-1993-1393;VéSKINDS 2:8 VéSKINDE (BN DNR: 930629)
M-1993-1395;TJéNGDARVE 4:1 TRéKUMLA
M-1993-1396;PRéSTGèRDEN 1:4 HANGVAR BN DNR 930618
M-1993-1397;OLSVENNE 1:11 NéS BN DNR 930625
M-1993-1398;VéSTERGèRDE 3:1 SUNDRE
M-1993-1399;LAUTER 1:20 FèRô
M-1993-1401;LARSARVE 1:47 ROMA
M-1993-1403;VéSTERBJERS 1:9 GOTHEM
M-1993-1407;ANSARVE 1:54 FRôJEL
M-1993-1408;ANSARVE 1:5-1:9 STENKUMLA
M-1993-1414;ANER 1:2 LOKRUME
M-1993-1415;SALLMUNDS 1:54 VéNGE
M-1993-1419;TJéNGDARVE 4:1 TRéKUMLA
M-1993-1422;PETSARVE 1:38 EKE
M-1993-1423;SKINNARVE 1:11 LEVIDE
M-1993-1424;SKINNARVE 1:11 LEVIDE
M-1993-1425;SNAUSARVE SAMF. 1:3 SILTE
M-1993-1426;SUDERGèRDS 1:48 STENKYRKA
M-1993-1427;SKOGS 1:4 LEVIDE
M-1993-1428;GUMBALDE 1:46 STèNGA
M-1993-1429;BOTTARVE 1:43 FRôJEL
M-1993-1431;VéSTERVéTE 1:22 VéTE
M-1993-1432;TJAUL 2:1 LUMMELUNDA
M-1993-1436;SKINNARVE 1:41 LEVIDE 93.627
M-1993-1437;RODARVE 1:2 ôSTERGARN 93.631
M-1993-1438;JAKOBS 1:43 EKSTA
M-1993-1439;JAKOBS 1:43 EKSTA 93.637
M-1993-1440;DAVIDE 1:16 GAMMELGARN 93.641
M-1993-1441;HAU 1:25 FLERINGE 93.642
M-1993-1443;HALVANDS 1:4 GARDA
M-1993-1446;ROMMUNDS 1:31 GAMMELGARN
M-1993-1447;BARSHAGE 1:3 OTHEM
M-1993-1448;LAUTERS 1:56 FèRô
M-1993-1449;BOTMUNDS 1:26 VéSTERHEJDE
M-1993-1450;BOTMUNDS 1:26 VéSTERTHEJDE
M-1993-1451;FRIGGES 1:8 OCH 1:11 HEMSE
M-1993-1452;SKéGGS 1:4 VéSKINDE
M-1993-1453;LAUTERS 1:91 FèRô
M-1993-1454;KULLINGBOS 1:12 KéLLUNGE
M-1993-1455;BENGTBINGELS 1:13 GOTHEM
M-1993-1456;BOLS 1:8 HAVDHEM
M-1993-1457;LIFFRIDE 1:5 ALSKOG
M-1993-1458;SIGSARVE 1:29 ALSKOG
M-1993-1460;BOMMUNDS I HAMMAREN 1:39 NéR
M-1993-1461;GUFFRIDE 1:22 ALSKOG
M-1993-1462;LAUTERS 1:127 FèRô
M-1993-1464;NYSTUGU 1:120 TINGSTéDE
M-1993-1466;HéLGE 3:1 STENKYRKA
M-1993-1467;BUTTER 1:29 VéSKINDE
M-1993-1468;LAUTERS 1:92 FèRô
M-1993-1469;TIRICKE 1:7 NéR
M-1993-1471;ALSTRôMSTORP 1:1 EKSTA
M-1993-1472;BJôRKLUNDA 1:2 ôJA
M-1993-1473;GèSEMORA 1:16 FèRô
M-1993-1475;BOPPARVE 1:26 HEMSE 930649
M-1993-1476;SALLMUNDS 1:29 HAMRA 930668
M-1993-1477;LICKSARVE 1:42 OCH 1:43 TOFTA
M-1993-1478;KVINNEGèRDA 1:6 HAVDHEM 930653
M-1993-1479;ALLEKVIA 1:2 ENDRE 930658
M-1993-1480;TJAULS 2:1 LUMMELUNDA 930650
M-1993-1481;BLéSNUNGS ST 1:100 VéSKINDE
M-1993-1482;SVARVARE 1:21 KLINTEHAMN 930654
M-1993-1484;SOJDEBY 1:20 FOLE
M-1993-1485;SALLMUNDS 1:29 HAMRA
M-1993-1488;ROMA 1:26 ROMA
M-1993-1491;BOTTARVE 1:16 VAMLINGBO
M-1993-1492;MEDEBYS 1:6 HEJDE
M-1993-1493;MEDEBYS 1:6 HEJDE
M-1993-1495;SAJGS 1:36 HELLVI
M-1993-1498;GARDRUNGS 1:31 STENKUMLA
M-1993-1499;BéCKS 1:57 HANGVAR
M-1993-1500;NYGRANNE 1:4 FIDE
M-1993-1501;BONDARVE 1:16 GULDRUPE
M-1993-1502;NYHEM 2:1 ROMA
M-1993-1504;BOSARVE 1:5 STèNGA
M-1993-1505;GANDARVE 1:19 DALHEM
M-1993-1507;ANSARVE 1:10 TOFTA
M-1993-1508;NYSTUGU 1:135 TINGSTéDE
M-1993-1509;ANSARVE 1:10 TOFTA BN/930674
M-1993-1510;HéGULDS 1:39 GARDA BN/930673
M-1993-1512;BUTTER 6:1 VéSKINDE BN/930677
M-1993-1513;BUTTER 6:1 VéSKINDE BN/930678
M-1993-1518;KALBJERGA 1:12 FèRô 930676
M-1993-1521;LUNDS 2:10 VéSTERHEJDE
M-1993-1522;BJéRGES 1:16 VéNGE
M-1993-1523;VIKES ST 1:77 1:95 FLERINGE
M-1993-1524;SKINNARVE 1:41 LEVIDE
M-1993-1525;EKEBYS 1:40 STENKYRKA
M-1993-1526;BOPPARVE 1:29 EKSTA
M-1993-1528;MôLNOR 1:26 FèRô
M-1993-1529;NYRINGELS 1:50 GOTHEM
M-1993-1530;KROKS 1:33 KROKSTéDE O 1:51 TOFTA
M-1993-1531;NORRBYS 1:35 MFL OTHEM
M-1993-1532;GUTE 1:28 BéL
M-1993-1535;VéSTERGèRDE 1:22 SUNDRE
M-1993-1536;MICKELS 1:33 HABLINGBO
M-1993-1537;RAGNSTéDE 3:17 TOFTA
M-1993-1550;MULDE 1:43 FRôJEL
M-1993-1552;DYPLE 1:12 TOFTA
M-1993-1553;DYPLE 1:12 TOFTA BN/930684
M-1993-1554;EKEBYS 1:20 GANTHEM BN/930694
M-1993-1555;KROKSTéDE 1:270 TOFTA
M-1993-1557;PRéSTGèRDEN 1:9 EKSTA
M-1993-1558;NéRS 1:333 OTHEM
M-1993-1559;HAMMARS 1:10 FèRô
M-1993-1560;KLINTE 2:1 BOGE
M-1993-1562;ROVIDE 1:11 FRôJEL
M-1993-1563;ôSTERBY 1:51 FIDE
M-1993-1564;LEVIDE 1:40 VALL
M-1993-1565;GUFFRIDE 1:22 ALSKOG
M-1993-1566;KVIE 1:11 HEJDE
M-1993-1567;RANGSARVE 1:17 ALVA
M-1993-1568;TORS 1:18 BRO
M-1993-1569;SINDARVE 1:9 GARDA
M-1993-1572;BOSARVE 1:5 STèNGA
M-1993-1573;KAUPARVE 1:26 DEL AV GRôTLINGBO
M-1993-1574;ANSARVE 1:54 FRôJEL
M-1993-1575;ANSARVE 1:54 FRôJEL
M-1993-1576;GUTE 1:66 BéL
M-1993-1582;LANGHAMMARS 1:16 FèRô
M-1993-1583;LEVIDE 1:38 ESKELHEM
M-1993-1585;SMISS 1:1 FLERINGE
M-1993-1586;BJERS L:A 1:2 LéRBRO
M-1993-1588;VERKEGARDS 1:29 FèRô
M-1993-1590;ôVERSTKVARN 1:58 LUMMELUNDA
M-1993-1591;BUTTLEGèRDA 1:37 BUTTLE
M-1993-1592;MYRSE 1:22 STENKUMLA
M-1993-1595;SNODER 1:79 SPROGE
M-1993-1596;SAIGS 1:32 HELLVI
M-1993-1597;HANGARPLATSEN 1:1 FèRôSUND
M-1993-1600;WINARVE 2:1 RONE
M-1993-1608;SOJVIDE 1:19 ESKELHEM
M-1993-1609;SOJVIDE 1:19 ESKELHEM
M-1993-1610;TOMSARVE 1:28 HOGRéN
M-1993-1611;MATTISE 1:22 BUNGE
M-1993-1612;SKYMNINGS 1:44 FLERINGE
M-1993-1614;GARDRUNGS 1:56 STENKUMLA
M-1993-1615;NYGèRDS 1:42 VéSTERHEJDE
M-1993-1616;VASTéDE ST 1:15 HABLINGBO
M-1993-1617;LANSA 1:15 FèRô
M-1993-1618;MULDE 1:44 FRôJEL 930703
M-1993-1623;DUNE 2:1 DALHEM
M-1993-1625;AUSTERS 1:15 FèRô
M-1993-1626;BèTICKE 1:3 ESKELHEM
M-1993-1627;DEDE 1:10 FOLLINGBO
M-1993-1628;GèSEMORA ST 1:55 FèRô
M-1993-1629;VASSTéDE 1:18 HABLINGBO
M-1993-1630;TUMMELBOS 1:20 LEVIDE
M-1993-1631;SKJUTFéLTET 1:2 TOFTA
M-1993-1632;SIGLEIFS 1:6 NéS
M-1993-1633;LINGSARVE 1:3 OCH 1:38 ESKELHEM
M-1993-1634;LINGSARVE 1:3 OCH 1:38 ESKELHEM
M-1993-1635;OCKSARVE 2:1 HEMSE
M-1993-1636;BUTVIER 2:1 SPROGE
M-1993-1640;BOBBENARVE 9:1 ôJA
M-1993-1642;BOMMUNDS I HAMMAREN 1:16 NéR
M-1993-1643;VéGUME ST 1:47 LéRBRO
M-1993-1644;VéSTERVéTE 3:1 VéTE
M-1993-1645;PAVALDS 1:32 LéRBRO
M-1993-1646;NYGèRDS 1:5 OCH FOLER 4:1 KRéKLINGBO
M-1993-1647;HALNER 1:19 BRO OCH ôVERôSTRIS 1:12 ALVA
M-1993-1648;STUX 1:142 BUNGE
M-1993-1649;SIGDES 1:50 BURS
M-1993-1650;BONDARVE 1:10 BURS
M-1993-1651;HALLUTE 1:32 NéR
M-1993-1652;HANES 2:1 ENDRE
M-1993-1654;VéSTERGèRDE 1:22 SUNDRE
M-1993-1655;KRONHAGEN 3:2 FèRôSUND
M-1993-1660;NORS 1:110 VéSKINDE BN/930725
M-1993-1661;NORRGèRDE ST 1:31 VéSKINDE
M-1993-1662;BENGTS 1:12 ôSTERGARN 930523
M-1993-1663;SKèLS 1:49 NéS BN/930723
M-1993-1664;LERA 1:32 ENDRE BN/930731
M-1993-1665;LERA 1:32 ENDRE BN/930732
M-1993-1666;TéLLEHAU 1:2 FèRô
M-1993-1667;VALDARVE 6:1 ESKELHEM 930733
M-1993-1668;BONDARVE 1:21 FOLE BN/930734
M-1993-1669;MICKELS 1:33 HABLINGBO 930736
M-1993-1670;STENSTUGU 1:26 BARLINGBO 930749
M-1993-1671;STUCKS 1:122 BUNGE BN/930750
M-1993-1673;BJéRS 1:18 VéSTERHEJDE BN/930752
M-1993-1681;BJéRS 1:23 VéSTERHEJDE
M-1993-1682;AJPE 1:12 SILTE
M-1993-1683;VERKEGèRDS 2:3-2:5 FèRô
M-1993-1691;ôVIDE 1:2 SANDA
M-1993-1692;HAVOR 1:13 HAVDHEM
M-1993-1693;ROSARVE 1:20 OCH 1:11 TINGSTéDE
M-1993-1694;HALLBJENS 1:29 GULDRUPE
M-1993-1700;DALS 3:1 LEVIDE
M-1993-1701;BENTEBINGELS 1:13 GOTHEM
M-1993-1702;DUSS 1:3 BRO
M-1993-1705;SUDERBYS 1:8 HEJDEBY/BN 930760
M-1993-1706;BROA 1:59 FèRô/ BN 930778
M-1993-1707;KROKS 1:78 TOFTA /BN 930767
M-1993-1708;SMISS 1:17 NéR/ BN 930773
M-1993-1709;BROUNGS 3:1 BUNGE/BN 930660
M-1993-1710;BJéRS 1:3 VéSTERHEJDE/ BN 930759
M-1993-1711;KVIUNGS 1:17 I STENKUMLA
M-1993-1712;VARBOS ST 2:2 SANDA
M-1993-1714;SUDERBYS 1:12 VéNGE
M-1993-1715;RUDVIER 1:11 ALSKOG
M-1993-1717;STENSTUGU 2:1 VAMLINGBO
M-1993-1721;GISSLAUSE 1:46 LéRBRO/BN 930776
M-1993-1722;GISSLAUSE 1:47 LéRBRO /BN 930777
M-1993-1723;KAUPARVE 1:26/D A GRôTLINGBO/BN 930763
M-1993-1724;DYPLE 1:26 TOFTA/BN 930772
M-1993-1727;KéLLSTéDE 2:1 LAU
M-1993-1728;KAUNGS 1:18 DALHEM
M-1993-1729;BINGE 1:4 DALHEM
M-1993-1730;KAUNGS 1:6 DALHEM
M-1993-1731;DAVIDE 1:69 RONE
M-1993-1732;STORMS 2:1 HAMRA
M-1993-1735;KVIE 1:52 MARTEBO
M-1993-1736;PETES 2:3 ôJA
M-1993-1738;KAMBS 1:46 LUMMELUNDA
M-1993-1739;KAMBS 1:45 LUMMELUNDA
M-1993-1742;GUFFRIDE 1:22 ALSKOG
M-1993-1745;SMISS 1:17 NéR
M-1993-1746;ôSTERBY 1:51 FIDE
M-1993-1747;DAVIDE 7:1 RONE
M-1993-1750;ôVERSTEKVARN 1:21 LUMMELUNDA/ BN 930753
M-1993-1755;BéCKSTéDE 2:1 SANDA
M-1993-1757;SMISS 1:4 GRôTLINGBO
M-1993-1761;BJôRKSARVE 1:8 BJôRKE
M-1993-1765;HUGRAJVS 2:2 GAMMELGARN
M-1993-1766;VIDRINGS 4:1 BURS
M-1993-1767;BOCKSARVE 1:42 (DEL AV) LEVIDE
M-1993-1769;SPENARVE 1:38 HAVDHEM
M-1993-1773;BèTARVE 6:34 GOTHEM
M-1993-1774;EKESKOGS 1:6 HEJDEBY
M-1993-1776;HéGUR 1:4 OCH 1:5 FRôJEL
M-1993-1780;BJéRS 1:18 VéSTERHEJDE
M-1993-1781;AMUNDE 1:29 BURS
M-1993-1783;BLéSNUNGS L:A 1:36 VéSKINDE
M-1993-1784;BUTTLEGèRDE 1:87 BUTTLE
M-1993-1785;HéLLINGE 2:1 SJONHEM
M-1993-1786;GRAUSNE 1:113 STENKYRKA/BN 930803
M-1993-1787;GRAUSNE 1:113 STENKYRKA
M-1993-1788;SAJGS 1:49 HELLVI/BN 930804
M-1993-1791;KRONHAGEN 3:2 BUNGE/BN 930813
M-1993-1793;SALLMUNDS 1:57 VéNGE
M-1993-1794;LARSARVE 1:19 STENKUMLA
M-1993-1797;RODARVE 2:2 ôSTERGARN
M-1993-1799;KROKS 1:135 TOFTA
M-1993-1800;RANGSARVE 1:17 ALVA
M-1993-1801;VIBBLE 1:200 VISBY
M-1993-1803;LYRUNGS 1:25 LYE
M-1993-1805;NORS 1:129 VISBY
M-1993-1806;UTOJE 1:7 FLERINGE
M-1993-1808;SAJGS 1:49 HELLVI
M-1993-1809;DAVIDE 1:51 GAMMELGARN
M-1993-1810;HALOR 1:129 RONE
M-1993-1811;STEN - TOLLBY 1:2 FOLE
M-1993-1813;ROMMUNDS 1:25 GAMMELGARN
M-1993-1814;OLLAIVS 1:15 ALA
M-1993-1816;SMèGèRDE 1:69 TOFTA
M-1993-1817;STUX 1:60 BUNGE
M-1993-1818;SIGSARVE 1:50 VIKLAU
M-1993-1819;LARSARVE 1:20 STENKUMLA/BN 930827
M-1993-1820;DéMBA 1:28 FèRô/BN 930690
M-1993-1821;DéMBA 1:28 FèRô/BN 930689
M-1993-1822;PUTTERSJAUS 1:36 RUTE/BN 930847
M-1993-1823;IRE 1:189 HANGVAR
M-1993-1824;ôSTERBY 1:229 OTHEM/BN 930839
M-1993-1825;KRONHOLMEN 1:3 VéSTERGARN/BN 930836
M-1993-1826;STAPLEBACKE 1:1 LéRBRO
M-1993-1827;HéGULDS 1:31 GARDA
M-1993-1828;ROBSARVE 1:8 FRôJEL/BN 930818
M-1993-1831;KéLLGèRDS 1:29 STENKUMLA
M-1993-1832;SAJGS 1:36 HELLVI
M-1993-1833;SNôGRINDE ST. 1:10 KLINTE/BN 930821
M-1993-1834;HéGVALDS 1:57 VéNGE
M-1993-1836;BURGE 1:25 LEVIDE
M-1993-1837;LERA 1:24 ENDRE
M-1993-1838;ôSTERBY 4:1 BUTTLE
M-1993-1839;VELINGE ST 1:41 BUTTLE
M-1993-1840;PUTTERSJAUS 1:36 RUTE
M-1993-1842;ANNEX 1:1 NéS
M-1993-1843;STUCKS 1:82 BUNGE
M-1993-1844;BUTERS 2:1 HôRSNE
M-1993-1845;PRéSTGèRDEN 1:1 HôRSNE / BN 930848
M-1993-1846;IRE 1:97 HANGVAR
M-1993-1849;NORE 1:42 VAMLINGBO
M-1993-1851;MATTSARVE 1:56 GAMMELGARN
M-1993-1852;GèSEMORA ST 1:30 FèRô
M-1993-1853;STJéRNARVE 1:12 EKSTA
M-1993-1859;TéNGELGèRDA 2:1 LéRBRO
M-1993-1861;SKèLS 1:49 NéS
M-1993-1862;HALLGèRDS 1:13 FRôJEL
M-1993-1863;HALLGèRDS 1:24 FRôJEL
M-1993-1865;BY 1:28 HABLINGBO
M-1993-1867;MIKELBYS 1:25 GERUM
M-1993-1869;BROA 1:59 FèRô
M-1993-1872;VARBOS 1:66 SANDA
M-1993-1874;GANDARVE 1:30 1:31 DALHEM
M-1993-1876;BLéSNUNGS L:A 1:36 VéSKINDE
M-1993-1877;TJéLDER 1:24 BOGE
M-1993-1878;UTALSKOG 1:11 M.FL. ALSKOG
M-1993-1879;RUDVIER 1:24 ALSKOG
M-1993-1880;GANNARVE 1:84 HEMSE
M-1993-1881;PUTTERSJAUS 1:36 RUTE
M-1993-1883;ODVALDS 2:1 LINDE
M-1993-1884;HOMA L:A 1:24 STENKUMLA
M-1993-1885;ROLEX 1:2 VALL
M-1993-1886;NéS ANNEX 1:1/BN 930882
M-1993-1887;SVEN 1:6 FèRô/ BN 930874
M-1993-1888;BURGSVIKS HAMN 1:1 ôJA/BN 930873
M-1993-1889;KATTLUNDS 1:32 GRôTLINGBO/BN 930872
M-1993-1892;RUNNE 1:56 SANDA
M-1993-1895;GèSEMORA ST 1:74 FèRô
M-1993-1896;GèSEMORA ST 1:74 FèRô
M-1993-1901;SUDERBYS 1:39 HEJDEBY
M-1993-1906;LEVIDE 1:12 ETELHEM
M-1993-1908;VILINGE L:A 1:18 BUTTLE
M-1993-1910;NORRBYS 1:37 OTHEM
M-1993-1912;SMISS 1:13 NéR
M-1993-1916;MULDE 1:39 FRôJEL
M-1993-1919;KYRKOGèRDEN 1:1 ROMA
M-1993-1920;SANDE 1:26 GAMMELGARN (DEL AV)
M-1993-1921;HALOR 1:69 RONE
M-1993-1922;SKOGBY 4:1 GAMMELGARN
M-1993-1923;TOLBY ST 2:1 FOLE
M-1993-1925;STALLAUSE 1:16 STèNGA
M-1993-1926;ôSTERBY 1:230 SLITE/BN 930895
M-1993-1928;KARLBJéRGA 1:15 FèRô/BN 930893
M-1993-1929;SUDERBYS 1:7-1:9 SJONHEM/BN 930901
M-1993-1930;MAFRIDS L:A 1:66 VéSTERGARN/BN 930889
M-1993-1931;LASSOR 1:2 FèRô
M-1993-1932;MAFRIDS ST 1:84 VéSTERGARN
M-1993-1933;SAJGS 1:49 HELLVI
M-1993-1934;HULTUNGS 1:6 BUNGE
M-1993-1935;RINGVIDA 1:27 FèRô/BN 930883
M-1993-1940;KLINTE 1:74 GAMMELGARN
M-1993-1942;HéGVALDS 1:57 VéNGE
M-1993-1943;KAMBS 1:69 LUMMELUNDA
M-1993-1945;GANS 1:12 NéS
M-1993-1948;UNGHANSE 1:55 ESKELHEM
M-1993-1949;SVENS 1:16 FèRô
M-1993-1950;ERIKS 1:12 BRO
M-1993-1954;NéRS 1:349 OTHEM
M-1993-1955;LUNDERHAGE 1:57 FLERINGE
M-1993-1957;SICKLINGS 1:113 KLINTE
M-1993-1965;SMISS 1:14 NéR
M-1993-1966;SKYMNINGS 1:38 FLERINGE
M-1993-1967;PRéSTGèRDEN 2:1 ROMA
M-1993-1968;TJELDER 2:1 BOGE/BN 930912
M-1993-1969;PRéSTGèRDEN 1:1 ALSKOG
M-1993-1970;REMBS 1:26 VAMLINGBO
M-1993-1971;LARSARVE 1:20 STENKUMLA
M-1993-1972;LARSARVE 1:20 STENKUMLA
M-1993-1975;VERKEGèRDS 5:1 FèRô
M-1993-1976;GUTENVIK 1:13 ôSTERGARN/BN 930945
M-1993-1977;GéLLUNGS 1:29 VéSKINDE/BN 930942
M-1993-1980;ANNEX 1:1 TRéKUMLA
M-1993-1981;GANS 1:12 NéS/BN 930937
M-1993-1982;VIBBLE 1:450/BN 930943
M-1993-1983;BENGTS 1:34 ôSTERGARN/BN 930941
M-1993-1984;SALLMUNDS 1:17 TOFTA/BN 930939
M-1993-1985;AMMUNDE 1:37 BURS
M-1993-1990;SANDARVE 1:18 FARDHEM
M-1993-1991;SKèLS 1:49 NéS
M-1993-1992;PUTTERSJAUS 1:28 RUTE
M-1993-1993;IHRE 1:189 HANGVAR
M-1993-1994;BOTVIDE 1:45 SANDA
M-1993-1995;LèNGUME 1:3 OTHEM
M-1993-1996;BèTELS 1:8 LOJSTA
M-1993-1997;PRéSTGèRDEN 1:1 GOTHEM
M-1993-1998;HALL 1:26 HALL
M-1993-1999;FALHAMMARS 1:29 ôSTERGARN
M-1993-2000;SINDARVVE 1:9 GARDE
M-1993-2001;SINDARVE 1:9 GARDE
M-1993-2003;MALLèRDS 1:16 LEVIDE
M-1993-2004;SIKTLINGS 1:76 KLINTEHAMN
M-1993-2005;VéSTNINGE 1:8 LéRBRO
M-1993-2006;FRIDE 1:45 LOJSTA
M-1993-2008;PRéSTGèRDEN 1:24 HAVDHEM
M-1993-2009;BROUNGS 1:96 (DEL AV) BUNGE
M-1993-2010;HAMMARS 1:7 NORRLANDA
M-1993-2012;SALLMUNDS 1:27 VéNGE
M-1993-2013;MULDE 1:44 FRôJEL
M-1993-2014;NORRGèRDE 1:6 HAMRA
M-1993-2015;STORMS 2:1 HAMRA/BN 930949
M-1993-2016;TOMASE 1:9 SUNDRE
M-1993-2018;ALMUNGS 1:4 STèNGA
M-1993-2019;TJELDER 2:1 BOGE
M-1993-2021;LIKMIDE 1:27 HEMSE
M-1993-2022;PRéSTGèRDEN 1:1 EKSTA DEL AV
M-1993-2023;NYGèRDS 1:335 VéSTERHEJDE
M-1993-2024;OTTES 1:7 SUNDRE
M-1993-2025;ANSARVE 1:55 TOFTA
M-1993-2028;STUCKS 1:346 BUNGE
M-1993-2029;BUTLEKS 1:45 FèRô
M-1993-2033;SALLMUNDS 1:19 GRôTLINGBO
M-1993-2034;KYRKLJUVES 1:6 OCH 1:13 VéNGE
M-1993-2037;FRIDE 1:45 LOJSTA
M-1993-2038;DAVIDE 1:69 RONE
M-1993-2039;UNGBèTELS 1:14 STèNGA
M-1993-2041;LAXARVE 1:17 OCH 1:18 BOGE
M-1993-2042;ôFVERSTEKVARN 1:56 LUMMELUNDA
M-1993-2043;VARBOS L:A 1:38 SANDA
M-1993-2046;BLéSNUNGS ST 1:42 VéSKINDE
M-1993-2051;LANGHAMMARS 1:16 FèRô/BN 930924
M-1993-2053;BOCKSARVE 1:42 LEVIDE
M-1993-2055;SNéCKERS 1:104 HANGVAR
M-1993-2059;HEMDARVE 1:4 SILTE
M-1993-2060;VéSTERGèRDE 1:21 OCH 1:37/BN 930978
M-1993-2061;BLéSNUNGS ST 1:42 VéSKINDE
M-1993-2062;KLINTE 1:69 FOLLINGBO
M-1993-2064;PRéSTGèRDEN 1:2 ATLINGBO
M-1993-2067;DUCKER 1:51 BUNGE
M-1993-2068;LYRUNGS 1:31 LYE
M-1993-2069;HéGVALDS 1:11 VALLSTENA
M-1993-2071;HéGVALDS 4:1 GARDA
M-1993-2072;ALE 1:2 RUTE
M-1993-2075;ôSTERBY 1:181 OTHEM
M-1994-2;GUFFRIDE 1:22 ALSKOG
M-1994-4;BéCKS 1:20 ENDRE/BN 930898
M-1994-5;LASSOR 1:2 FèRô/BN 930927
M-1994-6;HAMMARS 1:7 NORRLANDA
M-1994-8;SLES 1:5 GRôTLINGBO
M-1994-9;PRéSTGèRDEN 1:5 FARDHEM
M-1994-12;BOTMUNDS 1:75 VéSTERHEJDE
M-1994-15;LASSOR 1:2 FèRô/BN 930928
M-1994-18;SKèLS 1:19 NéS/BN 930986
M-1994-19;SUDERGèRDA 1:3 FèRô/BN 930904
M-1994-20;HéGULDS 4:1 GARDA
M-1994-22;GOTTSKALKS 1:34 TRéKUMLA
M-1994-25;MICKELS 1:32 HABLINGBO
M-1994-26;VéSTERBY 1:47 ARDRE
M-1994-28;EKEN 1:11 VISBY
M-1994-29;STENSTUGU 3:1 HABLINGBO
M-1994-30;MEDEBYS 1:2 HABLINGBO
M-1994-31;ODVALDS 1:74 FIDE
M-1994-32;PILGèRDS 1:15 OCH 1:14 NéR
M-1994-33;FRIDE 1:45 LOJSTA/BN 930606
M-1994-41;DOMERARVE 4:1 HABLINGBO
M-1994-42;VéSTNINGE 1:8 LéRBRO
M-1994-45;LICKEDARVE 1:39 FLERINGE
M-1994-46;LICKEDARVE 1:30 FLERINGE
M-1994-47;MYRVéLDER 1:35 TINGSTéDE
M-1994-48;TRéDGèRDS 1:9 TINGSTéDE
M-1994-49;ROSARVE 1:7 TINGSTéDE
M-1994-50;TRéDGèRDS 1:18 TINGSTéDE
M-1994-51;RINGS 3:1 HEJNUM
M-1994-52;TRéDGèRDS 1:15 TINGSTéDE
M-1994-53;RINGS 2:1 HEJNUM
M-1994-54;RINGS 2:2 HEJNUM
M-1994-55;SMISS 1:5 TINGSTéDE
M-1994-56;LICKEDARVE 1:35 FLERINGE
M-1994-58;ANSARVE 1:5 STENKUMLA
M-1994-61;LUKASE 1:19 HABLINGBO
M-1994-62;PETES 1:8 HABLINGBO
M-1994-63;MEDEBYS 1:37 FLERINGE
M-1994-64;MEDEBYS 1:24 FLERINGE
M-1994-65;LICKEDARVE 1:37 FLERINGE
M-1994-66;LICKEDARVE 1:40 FLERINGE
M-1994-67;LICKEDARVE 1:45 FLERINGE
M-1994-68;LICKEDARVE 1:47 FLERINGE
M-1994-69;LICKEDARVE 1:42 FLERINGE
M-1994-70;BROUNGS 1:78 BUNGE
M-1994-73;PRéSTGèRDEN 1:1 RONE
M-1994-74;BURGE 1:56 RONE
M-1994-75;AUTSARVE 1:38 RONE
M-1994-76;NORRVANGE 1:92 LéRBRO
M-1994-78;GUMBALDE 1:68 STèNGA
M-1994-80;HALL 1:69 HALL/BN 930988
M-1994-81;ALVANS 1:44 RUTE/BN 931000
M-1994-82;GUFFRIDE 1:22 ALSKOG/BN 931003
M-1994-83;SNOVALDS 1:7 ALSKOG/BN 931006
M-1994-84;ROSENDAL 1:30 FOLLINGBO/BN 930984
M-1994-85;OLSVENNE 1:11 NéS/BN 931007
M-1994-86;HOME ST 1:32 STENKUMLA/BN 941003
M-1994-87;GANS 1:12 NéS/BN 930865
M-1994-90;BJERGES 1:7 VAMLINGBO/BN 930063
M-1994-91;PETES 1:13 HABLINGBO/BN 940001
M-1994-92;BENGTS 1:33 ôSTERGARN
M-1994-93;BENGTS 1:33 ôSTERGARN/BN 940002
M-1994-96;SALMANS 1:3 BURS
M-1994-97;OCKSARVE 3:1 HEMSE
M-1994-98;SNEVIDE 1:16 HAVDHEM
M-1994-99;HAGEBY 1:59 ETELHEM
M-1994-100;ALMUNGS 2:1 STèNGA
M-1994-101;ARGES 1:6 HEMSE
M-1994-102;BOTMUNDS 1:75 VéSTERHEJDE
M-1994-103;BOTMUNDS 1:75 VéSTERHEJDE
M-1994-104;DéMBA 1:28 FèRô/BN 930958
M-1994-105;RôSTéDE ST 1:20 EKEBY
M-1994-109;HôSTGéRDE 1:1 EKEBY/BN 940017
M-1994-110;EKESKOGS 1:9 HEJDE
M-1994-111;SéLLE 1:20 FRôJEL
M-1994-112;GèSEMORA ST 1:74 FèRô
M-1994-113;LIFFEDARVE 1:11 ESKELHEM
M-1994-114;BJéRS 1:4 TOFTA
M-1994-116;èLARVE 1:26 RONE
M-1994-117;GUSTAVS 1:23 FRôJEL
M-1994-118;GUSTAVS 1:23 FRôJEL
M-1994-124;DYPLE 1:15 TOFTA
M-1994-126;HEMMOR 1:21 BURS
M-1994-127;SNôGRINDE 1:8 KLINTE
