Diarienummer;Sîkbegrepp
M-1989-434;NYGèRDS 1:85 VéSTERHEJDE
M-1989-435;RIDDARE 1:17 HEJNUM
M-1989-436;SIGSARVE 1:1 NéR
M-1989-437;MATTSARVE 3:1 GAMMELGARN
M-1989-438;TJéLDER 1:50 BOGE
M-1989-439;MEDEBY 2:18 GOTHEM
M-1989-440;MEDEBY 2:18 GOTHEM
M-1989-441;FALHAMMARS 1:44 ôSTERGARN
M-1989-442;BOTTARVE 1:35 VAMLINGBO
M-1989-443;TJéLDER 1:86 BOGE
M-1989-444;VéSKINDS 2:21 D A VéSKINDE
M-1989-445;SIGSARVE 3:1 D A VIKLAU
M-1989-446;SNAUVALDS 1:5 VéSTERGARN
M-1989-450;ôSTERBY 4:6 OTHEM
M-1989-451;MAGNUSE 1:19 LEVIDE
M-1989-452;SOJVIDE LILLA 1:22 SJONHEM
M-1989-453;éNGGèRDA 1:9 ANGA
M-1989-454;LICKEDARVET 1:47 FLERINGE
M-1989-459;BURGE 1:23 LEVIDE
M-1989-461;AMMUNDE 1:13 BURS
M-1989-462;VINOR 1:68 FèRô
M-1989-463;BOGE TJéLDER 1:34 1:35
M-1989-464;LIFFERDARVE 4:1 ESKELHEM
M-1989-465;FLENVIKE 1:8 KAPPELSHAMN
M-1989-467;STENSTUGU 1:57 OTHEM
M-1989-468;BOLARVE 3:2 HEJDEBY
M-1989-470;BJéRGES 1:27 EKSTA
M-1989-471;RODARVE 1:9 ôSTERGARN
M-1989-472;KROKSTéDE 1:209 TOFTA
M-1989-473;VIBBLE 1:200 VéSTERHEJDE
M-1989-474;BERTELS 1:5 STENKUMLA
M-1989-478;DUSS 1:7 DEL AV BRO
M-1989-479;OLARVE 1:21 HANGVAR
M-1989-480;OLARVE 1:21 HANGVAR
M-1989-481;SANDE 1:8 DEL AV EKEBY
M-1989-482;STORMS 2:1 HAMRA
M-1989-483;OLOFS 1:15 DEL AV ôJA
M-1989-484;OLOFS 1:15 DEL AV ôJA
M-1989-485;BARSHAGE 1:44 OTHEM
M-1989-486;GRAUSNE 2:1 DEL AV LOKRUME
M-1989-487;BUTLEKS 1:3 FèRô
M-1989-488;LILLA GLéVES 1:11 BURS
M-1989-489;MAGNUSE 1:24 RONE
M-1989-490;RODARVE 1:9 ôSTERGARN
M-1989-494;UNGESMISS 1:5 STENKYRKA
M-1989-495;DUSS 1:7 DEL AV BRO
M-1989-497;GALTUNGS 1:19 BURS
M-1989-499;HéGUR 1:31 BUNGE
M-1989-500;KUSE 1:39 VéSTERHEJDE
M-1989-503;BONDARVE 1:25 LEVIDE
M-1989-504;LAXARVE 1:43 BOGE
M-1989-506;SINDARVE ST 1:3 HAMRA
M-1989-509;SNEVIDE 1:6 HAVDHEM
M-1989-511;SNAUVALDS 1:18 HôRSNE
M-1989-512;BOSARVE 1:9 LYE
M-1989-515;DéMBA 1:32 FèRô
M-1989-518;SUDERBYS 1:40 VéSTERHEJDE
M-1989-519;KLEMETTE 1:2 SILTE
M-1989-521;GALTUNGS 1:13 BURS
M-1989-522;BURGE 1:102 LUMMELUNDA
M-1989-523;LAUTERS 1:16 FèRô
M-1989-524;ALSARVE 1:42 1:46 1:47 ARDR
M-1989-525;MôLNOR 1:43 FèRô
M-1989-526;KVIE 4:1 D A HANGVAR
M-1989-527;KVIE 4:1 D A HANGVAR
M-1989-528;RINGVIDA 1:19 FèRô
M-1989-529;ôSTERBY 1:51 FIDE
M-1989-530;ôSTERBY 1:51 FIDE
M-1989-531;KéLLSTéDE ST 1:72 LéRBRO
M-1989-532;KLINTEGèRDA LILLA 1:45 D A Vé
M-1989-533;VIBY 1:45 GOTHEM
M-1989-534;PRéSTGèRDEN 1:4 BARLINGBO
M-1989-535;KéLLGèRDS 1:44 STENKUMLA
M-1989-536;KLINTS 1:16 M FL OTHEM
M-1989-537;STJéRNARVE 3:1 AVST FR EKSTA
M-1989-538;STJéRNARVE 3:1 AVST FR EKSTA
M-1989-539;ETELHEMS ANNEX 1:1 D A ETELHE
M-1989-540;ANSARVE 1:26 TOFTA
