Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1993-1653;NYGÅRDS VÄSTERHEJDE;;
M-1995-1131;NYGÅRDS VÄSTERHEJDE;;
M-1994-1382;NYHAMN LUMMELUNDA;;
M-1994-571;NYMANS 1:12 FRÖJEL/BN 940228;;
M-1994-1593;NYSTUGE 1:7/1 FÅRÖ;;
M-1990-2611;NYSTUGU 1:118 BJÄRS 1:12 TIN;;
M-1991-1334;NYSTUGU 1:14 1:13 FÅRÖ;;
M-1994-715;NYSTUGU 1:37 HELLVI/BN 940242;;
M-1990-197;NYSTUGU 1:43 1:44 SANDA;;
M-1990-1638;NYSTUGU 1:43 1:44 SANDA;;
M-1990-196;NYSTUGU 1:43 OCH 1:44 SANDA;;
M-1993-296;NYSTUGU 1:49(1:48) HELLVI;;
M-1994-1195;NYSTUGU 1:9 FÅRÖ BN:940475;;
M-1990-1863;NÄKTERGALSLUNDEN KLINTEHAMN;;
M-1994-318;NÄR;;
M-1994-1550;NÄR;;
M-1994-1925;NÄR;;
M-1994-2316;NÄR;;
M-1995-355;NÄR;;
M-1996-1906;NÄR;;
M-1997-1559;NÄR;;
M-1997-2014;NÄR;;
M-1997-2356;NÄR;;
M-1997-2657;NÄR;;
M-1997-2731;NÄR;;
M-1998-1303;NÄR;;
M-1998-2573;NÄR;;
M-1998-3036;NÄR;;
M-1998-3089;NÄR;;
M-1998-3160;NÄR;;
M-1998-3181;NÄR;;
M-1999-1827;NÄR;;
M-1999-2598;NÄR;;
M-2000-169;NÄR;;
M-2000-2054;NÄR;;
M-2000-2670;NÄR;;
M-2000-3516;NÄR;;
M-1995-702;NÄR AVLOPPSR VERK;;
M-1989-2679;NÄR AVLOPPSRENINGSANLÄGGNING;;
M-1990-2023;NÄR AVLOPPSRENINGSVERK;;
M-1994-663;NÄR AVLOPPSRENINGSVERK;;
M-1997-1019;NÄR AVLOPPSRENINGSVERK;;
M-1998-3223;NÄR BOMMUNDS SAMF.;;
M-1999-967;NÄR BOMUNDS I BURGEN 1:16 MFL;;
M-1999-1760;NÄR FRANSAN;;
M-1998-3088;NÄR FRIGGES 1:22 OCH 1:5;;
M-1990-1293;NÄR GOLF KLUBBHUSET (SMISS 1:;;
M-1990-448;NÄR GOLFKLUBB;;
M-1996-2068;NÄR HALLBJÄNNE 1:21/BN 960494;;
M-2000-3999;NÄR HALLUTE;;
M-1996-582;NÄR HAMNGÅRDEN 1:15 - 1:18, 1:20 - 1:26;;
M-1996-403;NÄR HAMNGÅRDEN 1:15-1:18 1:20-1:26;;
M-2000-1166;NÄR HEMMOR;;
M-2000-3051;NÄR IDROTTSPLATSEN;;
M-2008-428;NÄR KAPELLETS FISKELÄGE;;
M-1989-282;NÄR KYRKBY NÄR;;
M-1996-95;NÄR MATTISE;;
M-1996-2448;NÄR MICKELGÅRDS 1:17/1:18;;
M-1997-2790;NÄR MICKELGÅRDS 1:17/1:18;;
M-2000-2634;NÄR MICKELGÅRDS 1:19 OCH 1:20;;
M-1996-1219;NÄR NÄRS II SKIFTESLAG;;
M-1999-2748;NÄR NÄRSHAMNS FISKEHAMN;;
M-1996-1266;NÄR PILGÅRDS;;
M-1996-477;NÄR SIGLAJVS 1:5 1:4;;
M-1993-143;NÄR VATTENVERK 1V 322;;
M-1994-2420;NÄR-RONE;;
M-1993-816;NÄRS 1.150 OTHEM;;
M-1990-1203;NÄRS 1:71 (DEL AV) NÄRS 1:298;;
M-1994-2024;NÄRS 2:1 3:1 OCH 4:1 OTHEM;;
M-1994-2065;NÄRS 2:1 3:1 OCH 4:1 OTHEM;;
M-1996-1242;NÄRS AVLOPPSR VERK;;
M-1998-993;NÄRS AVLOPPSRENINGSVERK;;
M-1999-661;NÄRS AVLOPPSRENINGSVERK;;
M-1991-679;NÄRS IDROTTSPLATS;;
M-1994-2181;NÄS;;
M-1995-2268;NÄS;;
M-1996-371;NÄS;;
M-1997-1525;NÄS;;
M-1997-2876;NÄS;;
M-1998-159;NÄS;;
M-2000-1176;NÄS;;
M-2000-1746;NÄS;;
M-2000-2846;NÄS;;
M-2000-78;NÄS;;
M-2000-193;NÄS ANNEX 1.2;;
M-1993-1886;NÄS ANNEX 1:1/BN 930882;;
M-1998-3066;NÄS BYGDEGÅRDEN;;
M-1998-2838;NÄS DRAKARVE 1:24 MARTARVE 1:9 M FL;;
M-1996-1552;NÄS DRAKARVE 1:88 1:89 AMFUNDS 1:13;;
M-1996-43;NÄS HAVET 2,7 KM NÄSREVETS FYR;;
M-1999-754;NÄS KLASÅRDEN;;
M-2000-1219;NÄS NISSE AVLOPPSRENINGSVERK;;
M-2000-592;NÄS NÄSUDDEN;;
M-1996-1556;NÄS OLSVENNE 1:19 1:20;;
M-1998-1190;NÄS SAMFÄLLD MARK FISKEBODAR;;
M-1998-1470;NÄS SIGLAJVS STORA 1:7,1:11,1:6,1:8 SKÅL;;
M-2000-1136;NÄS SIGLEIVS STORA 1:6 1:7 1:8 1:11 SKÅLS 1:49;;
M-1999-784;NÄS SIGLEIVS STORA 1:6-1:8, 1:11, SKÅLS;;
M-1996-2396;NÄS SIGVARDS 1:8/BN 960734;;
M-1998-2557;NÄS SKÅLS;;
M-2000-939;NÄS SKÅLS 1:19 & 1:49;;
M-1998-603;NÄS SKÅLS 1:19 1:49 SIGVARDS 1:8;;
M-1999-582;NÄS SKÅLS 1:19, 1:49 OCH SIGVARDS 1:8;;
M-1997-512;NÄS SKÅLS 1:49 1:19;;
M-1998-378;NÄS SKÅLS 1:49 1:19 SIGVARDS 1:8;;
M-1994-285;NÄS SOCKEN;;
M-1994-423;NÄS VÄSTRA NÄS;;
M-1994-2587;NÄS-SPROGE;;
M-1999-1970;NÄSUDDEN;;
M-1993-2011;NÄSUDDEN VÄST NÄS;;
M-1995-1159;NÄSUGNS DALHEM;;
M-1993-1052;OCKES ÖJA;;
M-1994-1941;OCKSARVE 3:1 HEMSE/BN 940767;;
M-1992-2100;ODVALDS 1:29, 1:30 KLINTEHAMN;;
M-1992-2030;ODVALDS 1:67 (DEL AV) FIDE;;
M-1992-1248;ODVALDS KLINTE;;
M-1995-730;ODVALDS KLINTE;;
M-1994-604;ODVALDS KLINTEHAMN;;
M-1995-2773;OK PETROLEUMS OLJEDEPÅ VISBY;;
M-1993-1008;OKES ÖJA;;
M-1994-928;OLAJVS ALSKOG;;
M-1995-981;OLAJVS ALSKOG;;
M-1995-2726;OLARVE HANGVAR;;
M-1989-2371;OLJA OCH GAS GOTLAND;;
M-1991-15;OLLAJVS ALA;;
M-1994-1342;OLOVS 2:1 1:33 ÖJA;;
M-1993-1397;OLSVENNE 1:11 NÄS BN DNR 930625;;
M-1994-85;OLSVENNE 1:11 NÄS/BN 931007;;
M-1995-406;OLSVENNE 1:11 NÄS/BN 950142;;
M-1994-1800;ORDBOKEN 11 VISBY BN: 940677;;
M-1993-1339;ORDBOKEN VISBY;;
M-1990-1890;OTHEM;;
M-1994-319;OTHEM;;
M-1994-1864;OTHEM;;
M-1994-2072;OTHEM;;
M-1994-2187;OTHEM;;
M-1994-2353;OTHEM;;
M-1994-2366;OTHEM;;
M-1995-466;OTHEM;;
M-1995-1109;OTHEM;;
M-1995-1332;OTHEM;;
M-1995-1718;OTHEM;;
M-1995-2610;OTHEM;;
M-1996-231;OTHEM;;
M-1996-341;OTHEM;;
M-1996-888;OTHEM;;
M-1996-944;OTHEM;;
M-1996-1315;OTHEM;;
M-1997-633;OTHEM;;
M-1997-1620;OTHEM;;
M-1997-1662;OTHEM;;
M-1997-1935;OTHEM;;
M-1997-2192;OTHEM;;
M-1997-2300;OTHEM;;
M-1997-2734;OTHEM;;
M-1997-2741;OTHEM;;
M-1997-2849;OTHEM;;
M-1997-2968;OTHEM;;
M-1997-3058;OTHEM;;
M-1998-84;OTHEM;;
M-1998-1269;OTHEM;;
M-1998-1434;OTHEM;;
M-1998-2032;OTHEM;;
M-1998-2050;OTHEM;;
M-1998-2052;OTHEM;;
M-1998-2097;OTHEM;;
M-1998-2318;OTHEM;;
M-1998-2788;OTHEM;;
M-1999-375;OTHEM;;
M-1999-997;OTHEM;;
M-1999-1107;OTHEM;;
M-1999-1356;OTHEM;;
M-1999-1358;OTHEM;;
M-1999-2522;OTHEM;;
M-2000-2598;OTHEM;;
M-2000-2936;OTHEM;;
M-2000-3238;OTHEM;;
M-2000-469;OTHEM;;
MHN-2014-3319;OTHEM;;
MHN-2016-2571;OTHEM;;
MHN-2017-867;OTHEM;;
M-1997-1268;OTHEM BARS HAGE;;
M-1999-2717;OTHEM BOTVALDEVIK;;
M-1997-3080;OTHEM BUSARVE;;
M-2000-2555;OTHEM CEMENTA;;
M-1998-645;OTHEM CEMENTEN 4 OCH 5;;
M-1998-2681;OTHEM FILE HAJDAR;;
M-2008-6349;OTHEM FLÄDERN 5 OCH 4;;
M-2000-635;OTHEM KILÅKERN;;
M-1999-1436;OTHEM KORSET;;
M-1999-1486;OTHEM LÅNGUME 1:1, 1:3, SLITE AVFALLSANLÄGGNING;;
M-2000-864;OTHEM LÅNGUME 1:3 & 1:1;;
M-2000-3465;OTHEM LÅNGUME 1:3, DEL AV LÅNGUME 1:1;;
M-1999-2777;OTHEM LÄNNAHAMNEN;;
M-1998-2364;OTHEM M.T.L. I VISBY AB;;
M-1997-263;OTHEM OTHEMARS 1:18 1:60;;
M-2000-2224;OTHEM OTHEMARS 1:4 OCH 1.1:119;;
M-1998-2893;OTHEM OTHEMARS 1:46/KLINTS 1:31;;
M-2000-2548;OTHEM PRÄSTGÅRDEN 1:2, 1:3;;
M-1997-2415;OTHEM RAKAN 5-7;;
M-2000-2599;OTHEM RESTAURANG KOLHÖGEN;;
M-1997-182;OTHEM SLITE;;
M-1999-19;OTHEM SLITE;;
M-1999-863;OTHEM SLITE;;
M-1999-1247;OTHEM SLITE;;
M-1999-1303;OTHEM SLITE;;
M-1999-1571;OTHEM SLITE;;
M-1999-2147;OTHEM SLITE;;
M-1999-2150;OTHEM SLITE;;
M-1999-2244;OTHEM SLITE;;
M-2000-1456;OTHEM SLITE;;
M-2000-2377;OTHEM SLITE;;
M-2000-803;OTHEM SLITE;;
M-1999-197;OTHEM SLITE GOLFBANA;;
M-1998-2333;OTHEM SLITE GOLFKLUBB;;
M-1999-199;OTHEM SLITE KRAFTVERK;;
M-1999-2118;OTHEM SLITEBADENS HOTELL;;
M-2008-6211;OTHEM SLÄGGAN 11 OCH HACKAN 6;;
M-2000-2610;OTHEM SPECULATIONEN SLITE;;
M-1996-602;OTHEM SPILLINGS;;
M-1999-2394;OTHEM SUNNANVIK (EN BÅT!);;
M-1996-620;OTHEM VISBYVÄGEN;;
M-2000-90;OTHEM YTINGS 1:27 & KLINTS 1:48;;
M-1998-1357;OTHEM YTINGS 1:27 KLINTS 1:48;;
M-1999-592;OTHEM YTINGS 1:27 OCH KLINTS 1:48;;
M-1989-1585;OTHEMARS 1:33 (D A) OTHEM;;
M-1994-1381;OTHEMARS OTHEM;;
M-1995-1907;OTHEMARS OTHEM;;
M-1994-1172;OTHEMS KORS;;
M-1991-752;PALISSADERNA FÄRJELEDEN VISB;;
M-1994-1372;PAVILJONGSPLAN VISBY;;
M-1994-1421;PAVILJONGSPLAN VISBY;;
M-1991-1157;PAÅN VÄSTERGARN;;
M-1994-1254;PEJNARVE 1:68 LEVIDE BN:;;
M-1989-2463;PEJNARVE 1:70 (DEL AV) LEVIDE;;
M-1990-57;PENSIONAT BJÖRKLUNDA BURGSVIK;;
M-1995-2603;PENSIONAT GULA HÖNAN;;
M-1990-2316;PERSIKAN LIVS AB VISBY;;
M-1995-2705;PERSONAL OCH LÖNESYSTEM;;
M-1995-1670;PETARVE EKE;;
M-1994-917;PETARVE SANDA;;
M-1994-91;PETES 1:13 HABLINGBO/BN 940001;;
M-1989-2540;PETES ÖJA;;
M-1990-107;PETES ÖJA;;
M-1991-362;PETES ÖJA;;
M-1995-1168;PETSARVE 1:26 SOJVIDE 1:21 SJONHEM;;
M-1993-1749;PETSARVE 4.1 VAMLINGBO/930802;;
M-1994-1719;PETSARVE 4:1 VAMLINGBO 94.0662;;
M-1991-369;PIAS FOTVÅRD HEMSE;;
M-1996-1909;PIGHUSET LJUGARN;;
M-1990-883;PILGÅRDS 1.14 NÄR;;
M-1994-32;PILGÅRDS 1:15 OCH 1:14 NÄR;;
M-1991-2006;PILGÅRDS 1:2 (DEL AV) BOGE;;
M-1992-1869;PILHAGSVÄGEN VISBY;;
M-1989-2088;PIZZERIA HAGGET FÅRÖ;;
M-1990-2053;POL TRANSPORT VISBY;;
M-1990-1564;POLISMYNDIGHETEN VISBY;;
M-1994-1221;PORTIKHUSET VISBY;;
M-1995-604;POSTEN VISBY;;
M-1990-1538;PRESSBYRÅN KLINTE;;
M-1991-648;PRESSBYRÅN ROMA;;
M-1990-2366;PRESSEN 6 STRANDGATAN 20 VIS;;
M-1994-1477;PRIORN 2 VISBY (KAPITELHUSET);;
M-1994-517;PRIORN 2 VISBY/BN 940176;;
M-1991-879;PRIPPS BRYGGERIER AB VISBY;;
M-1998-416;PROJEKT MULTIMEDIABUSSEN;;
M-1990-2265;PRÄSTGÅRDEN 1:1 (DEL AV) EKST;;
M-1989-2143;PRÄSTGÅRDEN 1:1 (DEL AV) KRÄK;;
M-1992-1904;PRÄSTGÅRDEN 1:1 1:2 KVIENDE1:6;;
M-1993-1845;PRÄSTGÅRDEN 1:1 HÖRSNE / BN 930848;;
M-1990-504;PRÄSTGÅRDEN 1:1 KRÄKLINGBO (D;;
M-1994-455;PRÄSTGÅRDEN 1:1 ÖSTERGARN/BN 940158;;
M-1990-1011;PRÄSTGÅRDEN 1:2 DAVIDE 1:60;;
M-1990-41;PRÄSTGÅRDEN 1:20 (D A LOTT H);;
M-1990-367;PRÄSTGÅRDEN 1:20 (LOTT D DEL;;
M-1990-2276;PRÄSTGÅRDEN 1:39 (LOTT R) VÄS;;
M-1993-1396;PRÄSTGÅRDEN 1:4 HANGVAR BN DNR 930618;;
M-1994-269;PRÄSTGÅRDEN 1:45 HAVDHEM BN:940098;;
M-1995-3;PRÄSTGÅRDEN 1:5 MARTEBO/BN 941055;;
M-1992-263;PRÄSTGÅRDEN FOLE;;
M-1989-1210;PRÄSTGÅRDEN SAMF MARK FARDHEM;;
M-1990-410;PRÄSTGÅRDEN SAMF MARK LEVIDE;;
M-1992-8;PRÄSTGÅRDEN SJONHEM;;
M-1995-959;PRÄSTGÅRDEN SJONHEM;;
M-1995-2075;PRÄSTGÅRDEN VALL;;
M-1994-1518;PRÄSTGÅRDEN VÄSKINDE;;
M-1995-472;PRÄSTGÅRDEN ÖJA;;
M-1993-1858;PUMPEN 3 VISBY/BN 930852;;
M-1995-958;PUMPEN 3/HERCULES 5 VISBY;;
M-1994-2162;PUMPEN 4 VISBY/BN 940859;;
M-1990-2063;PUTTERSJAUS (1:21) 1:29 RUTE;;
M-1989-2614;PUTTERSJAUS 1:29 (DEL AV) RUT;;
M-1993-1822;PUTTERSJAUS 1:36 RUTE/BN 930847;;
M-1990-651;PUTTERSJAUSE 1:29 (1:22) RUTE;;
M-1991-589;RADIOSYSTEM SWEDEN AB VISBY;;
M-1995-2721;RADON PÅ GOTLAND;;
M-1995-2484;RAKEL O RAM GOTLAND;;
M-1994-2489;RANGSARVE 1:4 LOJSTA/BN 941030;;
M-1991-836;RANGSARVE ALVA;;
M-1991-317;RANGSARVE NÄS;;
M-1994-1532;RANGVALD 1:33 TOFTA BN:940552;;
M-1989-1485;RANGVALDS 1:16 1:17 HAVDHEM;;
M-1995-2111;RANTARVE 1:13-1:17 HALLA;;
M-1995-1671;RANTARVE HALLA;;
M-1989-723;RAUKHYTTANS MATSERVERING;;
M-1990-2434;REDNERS HEMSE;;
M-1989-960;REMBS 1:28 O REMBS 1:29 VAMIN;;
M-1994-146;REMBS 1:6 OCH AUSTRE 1:27 VAMLINGBO;;
M-1995-2480;RENO KIOSK OCH VIDEO VISBY;;
M-1992-5;REPET VISBY;;
M-1990-408;RESIDENSET 4 (REST KOKSLAGRET);;
M-1990-814;REST ACACIA VISBY;;
M-1990-1105;REST ACACIA VISBY;;
M-1990-2238;REST ACACIA VISBY;;
M-1990-2073;REST ARKADEN;;
M-1990-1746;REST CHESS BISTRO KLINTEHAMN;;
M-1991-259;REST FYRSPANNET VISBY;;
M-1990-1697;REST GUTEKÄLLAREN;;
M-1990-2076;REST HAGGET FÅRÖ;;
M-1991-420;REST HAGGET FÅRÖ;;
M-1990-1289;REST HOT SHOT;;
M-1989-173;REST LENZ-CHINA VISBY;;
M-1990-1352;REST MAXIMILLIAN VISBY;;
M-1989-2248;REST RÖVAR LILJA VISBY;;
M-1989-1546;REST SANDVIKEN BUNGE;;
M-1991-877;REST SVARTE RUDOLF VISBY;;
M-1990-2083;REST TRÄDGÅR`N;;
M-1990-1311;REST WALLÉRS PALATS VISBY;;
M-1990-1106;REST WALLERS VISBY;;
M-1995-1779;RESTAURANG ADEL;;
M-1989-2339;RESTAURANG BORGEN VISBY;;
M-1990-384;RESTAURANG CAFÉ VISBY FLYGPL;;
M-1991-62;RESTAURANG FAVENTIA;;
M-1990-794;Restaurang Glaciär;;
M-1995-907;RESTAURANG GUTEKÄLLAREN;;
M-1995-2215;RESTAURANG HAGGET;;
M-1990-351;RESTAURANG HAGGET FÅRÖ;;
M-1989-840;RESTAURANG LUNKAN VISBY;;
M-1991-773;RESTAURANG O CAFÉ NUNNAN VISB;;
M-1995-2750;RESTAURANG OCH NÖJESKOMPANIET ADEL HB;;
M-1995-2497;RESTAURANG OCH PIZZERIA LAHDO HB;;
M-1990-2593;RESTAURANG SÖDERPORT;;
M-1994-1062;RESTAURANGTÄLTET VISBY;;
M-1989-813;RESTAURANT THOMAS & OLA HB;;
M-1995-1971;RESTURANG MASTERS;;
M-1990-798;Ridskoleverksamhet;;
M-1989-2373;RIKSBYGGENS OMRÅDEN VISBY;;
M-1990-1791;RIKVIDE 1.174 SILTE;;
M-1994-1631;RIKVIDE 1:108 SILTE BN 940624;;
M-1994-697;RIKVIDE 1:12/1:13 NÄR;;
M-1994-2325;RINGOME ALVA;;
M-1993-1223;RINGOME L:A 1:9 ALVA;;
M-1993-1935;RINGVIDA 1:27 FÅRÖ/BN 930883;;
M-1994-188;RINGVIDA 1:52-1:53 VÄSKINDE;;
M-1994-149;RINGVIDA 1:52-1:53 VÄSKINDE/BN 940022;;
M-1989-1140;RINGVIDE;;
M-1992-1983;RINGVIDE 1.23 VÄSKINDE;;
M-1994-1001;RINGVIDE 1:13 VÄSKINDE/BN 940404;;
M-1990-458;RINGVIDE 1:13+ 1:18 LÄRBRO;;
M-1989-2038;RINGVIDE 1:18 - 1:20 1:51 VÄ;;
M-1990-2027;RINGVIDE 1:18-1:20 1:51 VÄSK;;
M-1994-569;RINGVIDE 1:20 VÄSKINDE/BN 940221;;
M-1991-721;RINGVIDE 1:28 (LIFFRIDE 1:43);;
M-1990-2166;RINGVIDE 1:40 (AVST FR) STENK;;
M-1991-372;RINGVIDE 1:51 (DEL AV) VÄSKIN;;
M-1991-282;RINGVIDE 1:51 (F D 2:1) VÄSKI;;
M-1991-328;RINGVIDE 1:51 (FD 2:1) VÄSKIN;;
M-1995-57;RINGVIDE 1:52 OCH 1:53 VÄSKINDE;;
M-1995-28;RINGVIDE 1:52 VÄSKINDE/BN 941079;;
M-1995-29;RINGVIDE 1:53 VÄSKINDE/BN 941080;;
M-1990-1378;RINGVIDE 1:55 (TOMT NR 58) ST;;
M-1989-1148;RINGVIDE 1:55 TOMT NR 58 STE;;
M-1995-1189;RINGVIDE 1:8 1:15 VÄSKINDE;;
M-1994-572;RINGVIDE 1:8 VÄSKINDE/BN 940211;;
M-1994-2291;RINGVIDE 1:92 STENKYRKA/BN 940764;;
MHN-2018-4528;Riskklassning av deponier;;
M-1994-2443;ROBBENARVE 1:2 NÄR/BN 941006;;
M-1994-392;ROBBJENS 1:64 KLINTE/BN 940132;;
M-1993-1828;ROBSARVE 1:8 FRÖJEL/BN 930818;;
M-1989-241;RODARVE 1:2 (DEL AV) ÖSTERGAR;;
M-1993-1437;RODARVE 1:2 ÖSTERGARN 93.631;;
M-1994-157;RODARVE ÖSTERGARN;;
M-1990-2626;ROES 1:73 FRIGSARVE 2:1 RONE;;
M-1991-832;ROFINDE 1:6 (DEL AV) HAMRA;;
M-1990-527;ROFINDS 1:6 (DEL AV) HAMRA;;
M-1991-263;ROFINDS 1:6 (DEL AV) HAMRA;;
M-1991-870;ROFINDS 1:6 (DEL AV) HAMRA;;
M-1995-2377;ROLLES ICA;;
M-1995-603;ROLLES ICA ROMA;;
M-1996-2914;ROM VÄLLER L:A 1:14;;
M-1990-2225;ROMA;;
M-1994-16;ROMA;;
M-1994-256;ROMA;;
M-1994-407;ROMA;;
M-1994-446;ROMA;;
M-1994-994;ROMA;;
M-1994-1007;ROMA;;
M-1994-1501;ROMA;;
M-1994-1935;ROMA;;
M-1994-2012;ROMA;;
M-1994-2091;ROMA;;
M-1994-2392;ROMA;;
M-1994-2536;ROMA;;
M-1994-2550;ROMA;;
M-1995-91;ROMA;;
M-1995-330;ROMA;;
M-1995-779;ROMA;;
M-1995-986;ROMA;;
M-1995-1037;ROMA;;
M-1995-1156;ROMA;;
M-1995-1273;ROMA;;
M-1996-482;ROMA;;
M-1996-581;ROMA;;
M-1996-773;ROMA;;
M-1997-1741;ROMA;;
M-1997-2437;ROMA;;
M-1997-2720;ROMA;;
M-1997-2729;ROMA;;
M-1997-2850;ROMA;;
M-1998-618;ROMA;;
M-1998-1207;ROMA;;
M-1998-1218;ROMA;;
M-1998-1304;ROMA;;
M-1998-2765;ROMA;;
M-1999-26;ROMA;;
M-1999-1103;ROMA;;
M-1999-2232;ROMA;;
M-1999-2367;ROMA;;
M-1999-2573;ROMA;;
M-1999-2710;ROMA;;
M-2000-1636;ROMA;;
M-2000-1815;ROMA;;
M-2000-2225;ROMA;;
M-2000-228;ROMA;;
M-2000-272;ROMA;;
M-2000-680;ROMA;;
M-2000-804;ROMA;;
M-1999-54;ROMA AVLOPPSRENINGSANLÄGGNING;;
M-1998-934;ROMA AVLOPPSRENINGSVERK;;
M-1996-1193;ROMA EJMUNDS;;
M-1997-760;ROMA EKGATAN;;
M-1999-1372;ROMA ETANOLFABRIK AB;;
M-1999-1067;ROMA FORUM G:A SOCKERFABRIKEN F.HÄGGLUND;;
M-1993-275;ROMA GROVTIPP;;
M-1996-1168;ROMA HÖGBRO;;
M-2008-4010;ROMA KARBY;;
M-2007-883;ROMA KLOSTER 1:178, 1:182;;
M-2008-3168;ROMA KLOSTER 1:178, 1:182;;
M-2008-3189;ROMA KLOSTER 1:178, 1:182;;
M-2009-1128;ROMA KLOSTER 1:178, 1:182;;
MHN-2016-2535;ROMA KLOSTER 1:178, 1:182;;
MHN-2017-1066;ROMA KLOSTER 1:178, 1:182;;
MHN-2018-2713;ROMA KLOSTER 1:178, 1:182;;
M-2000-610;ROMA KLOSTER 1:37 & 1:38;;
M-2000-1547;ROMA KLOSTER 1:64/KLOSTER 1:68-1:69 SAMT 1:73;;
M-1998-343;ROMA KLOSTERBRUNNEN;;
M-2000-2055;ROMA KLOSTERBRUNNEN - FORUM ROMA G:A SOCKERFABRIKEN;;
M-1997-177;ROMA KLOSTERGÅRDEN;;
M-1999-274;ROMA KONSUM;;
M-1993-693;ROMA KUNGSGÅRD;;
M-1997-1754;ROMA KUNGSGÅRD;;
M-2007-107;ROMA KYRKSKOLA;;
M-1996-2532;ROMA KYRKSKOLAN;;
M-1999-2785;ROMA LARSARVE 1:8 OCH 1:25;;
M-1999-1702;ROMA LÖVSTA 2.2;;
M-2000-770;ROMA LÖVSTA 2:2 MYRE 2:1;;
M-1999-693;ROMA LÖVSTA 2:2 OCH MYRE 2:1;;
M-1998-802;ROMA LÖVSTA GÅRD;;
M-2008-3950;ROMA MEDELTIDSVECKAN 2008;;
M-1996-76;ROMA MILJÖSTATION;;
M-1999-277;ROMA MITT ICA;;
M-1996-155;ROMA PRÄSTGÅRDEN 1:5 BUSARVE 1:31;;
M-2000-3405;ROMA ROMA SOCKERBRUK;;
M-1997-175;ROMA ROMABADET;;
M-1998-563;ROMA ROMAKLOSTER;;
M-1999-1406;ROMA ROMAKLOSTER 1:178 1:182;;
M-1997-3023;ROMA ROMAKLOSTER 1:178/1:182;;
M-1997-183;ROMA ROMASKOLAN;;
M-2000-3142;ROMA ROMATEATERN;;
M-1996-507;ROMA RUNDARVE 1:8 VARPLÖSE 1:16 SALLMUND;;
M-1997-994;ROMA SAMFÄLLD MARK LARSARVE;;
M-1998-1113;ROMA SERVERINGSTÄLT SOCKERBRUKET;;
M-1993-1209;ROMA SOCKERBRUK;;
M-1999-152;ROMA SOCKERBRUK;;
M-1999-193;ROMA SOCKERBRUK;;
M-2000-577;ROMA SOCKERBRUK;;
M-1996-2210;ROMA TIMANS;;
M-1995-975;ROMA VATTENSKYDDSOMRÅDE;;
M-1993-82;ROMA VATTENVERK;;
M-1995-977;ROMA VISBY HAMN;;
M-1996-2339;"ROMA VÄLLER 1;18";;
M-1997-1245;ROMA VÄLLER L:A 1:13;;
M-1990-2206;ROMAKLOSTER 1:178 1:182 ROMA;;
M-1994-714;ROMAKLOSTER 1:23 OCH 1:187 MFL;;
M-1994-37;RONE;;
M-1994-1026;RONE;;
M-1995-633;RONE;;
M-1995-1283;RONE;;
M-1995-1412;RONE;;
M-1996-545;RONE;;
M-1996-1282;RONE;;
M-1996-1661;RONE;;
M-1997-1849;RONE;;
M-1997-2239;RONE;;
M-1998-244;RONE;;
M-1998-1451;RONE;;
M-1998-1922;RONE;;
M-1998-1961;RONE;;
M-1998-2040;RONE;;
M-1998-2053;RONE;;
M-1998-2281;RONE;;
M-1998-3097;RONE;;
M-1998-3098;RONE;;
M-1999-776;RONE;;
M-1999-1433;RONE;;
M-1999-2030;RONE;;
M-1999-2223;RONE;;
M-1999-2224;RONE;;
M-1999-2544;RONE;;
M-2000-171;RONE;;
M-2000-2084;RONE;;
M-2000-2900;RONE;;
M-2000-3561;RONE;;
M-2000-462;RONE;;
M-1997-1234;RONE CAFÉ BURS;;
M-1999-2487;RONE DAVIDE;;
M-2000-701;RONE DAVIDE 1:68 & 7:1;;
M-1997-1786;RONE GOIK;;
M-2000-1242;RONE HALLBENARVE 1:4, 1:5;;
M-1999-306;RONE HALOR;;
M-2000-447;RONE HALOR 1:115 & 1:159;;
M-1999-1732;RONE IDROTTSPLATS;;
M-1996-2499;RONE JAKSARVE;;
M-2000-1756;RONE PRÄSTGÅRDEN 1.3;;
M-1996-1302;RONE ROES;;
M-1998-662;RONE ROES;;
M-1999-2764;RONE RONEHAMN;;
M-2000-3374;RONE RONEHAMN;;
M-1992-791;RONE SKOLA;;
M-1997-2421;RONE SMISSARVE;;
M-2000-2790;RONE SMISSARVE 1:6 OCH 1:8;;
M-2000-2789;RONE SMISSARVE 1:6, 1:8 OCH 1:21;;
M-1994-200;RONE UTBYGGNAD;;
M-1997-2179;RONE VINARVE 1:4 OCH 1:5;;
M-1994-1741;RONE YTTERHOLME;;
M-1999-1756;RONE YTTERHOLME;;
M-1994-44;RONEHAMN;;
M-1994-347;RONEHAMN;;
M-1994-492;RONEHAMN;;
M-1995-698;RONEHAMN;;
M-1997-755;RONEHAMN;;
M-1997-2558;RONEHAMN;;
M-1997-2686;RONEHAMN;;
M-1997-2761;RONEHAMN;;
M-1998-83;RONEHAMN;;
M-1998-636;RONEHAMN;;
M-1999-612;RONEHAMN;;
M-1999-1109;RONEHAMN;;
M-2000-1381;RONEHAMN;;
M-1995-701;RONEHAMN AVLOPPSR VERK;;
M-1996-1243;RONEHAMN AVLOPPSR VERK;;
M-1994-658;RONEHAMN AVLOPPSRENINGSVERK;;
