Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1994-533;BANNA L:A 1:4 LÄRBRO;;
M-1994-1725;BANNA L:A 1:4 LÄRBRO;;
M-1994-1019;BANNE L:A 1:20 LÄRBRO;;
M-1998-661;BARA;;
M-1999-1036;BARA-VALLSTENA;;
M-1990-2074;BARBECUE GARDEN (STRANDGATAN;;
M-1993-1561;BARBEQUE GARDEN;;
M-1990-1569;BARBERQUE-GARDEN VISBY;;
M-1990-1244;BARE;;
M-1994-313;BARLINGBO;;
M-2000-1418;BARLINGBO;;
M-1990-868;BARSHAGE 1.10 OTHEM;;
M-1994-2120;BEGONIAN 6 VISBY/BN 940849;;
M-1989-279;BEKÄMPNINGSMEDEL I GRUNDVATTEN;;
M-1993-1333;BENDES 1:24 1:44 ANGA;;
M-1993-1662;BENGTS 1:12 ÖSTERGARN 930523;;
M-1990-1086;BENGTS 1:26 (DEL AV) ÖSTERGAR;;
M-1991-1479;BENGTS 1:26 (DEL AV) ÖSTERGARN;;
M-1990-1056;BENGTS 1:32-1:34 ÖSTERGARN;;
M-1994-93;BENGTS 1:33 ÖSTERGARN/BN 940002;;
M-1993-1983;BENGTS 1:34 ÖSTERGARN/BN 930941;;
M-1990-202;BENSINMUFFAR;;
M-1989-2590;BERGBETNINGEN I VISBY;;
M-1995-1138;BERTELS STENKUMLA;;
M-1989-1497;BERTLES 1:13 (DEL AV) STENKUML;;
M-1998-1003;BIL:FYB 003 SLÄP:CTA 985;;
M-1993-1310;BINGE GÅRD MARTEBO;;
M-1990-2314;BINGEBYHALLEN VISBY;;
M-1992-1412;BINGEBYHALLEN VISBY;;
M-1994-357;BIRKAGATAN VISBY;;
M-1990-2574;BITTANS KIOSK SLITE;;
M-1994-90;BJERGES 1:7 VAMLINGBO/BN 930063;;
M-1990-2263;BJERS 1:15 (DEL AV) VALLSTENA;;
M-1995-479;BJERS 1:26 1:46 LOJSTA;;
M-1994-461;BJERS 3:2 (DEL AV) TOFTA/BN 940171;;
M-1992-1765;BJERS 3:2 3:7-3:9 TOFTA;;
M-1994-746;BJERS GULDRUPE;;
M-1990-378;BJERS HEJNUM;;
M-1994-1144;BJERS L:A 1:18 LÄRBRO;;
M-1993-1586;BJERS L:A 1:2 LÄRBRO;;
M-1993-120;BJERS L:A 1:4 STENKYRKA;;
M-1994-1017;BJERS L:A 1:4 STENKYRKA;;
M-1991-1231;BJERS L:A 1:7 LÄRBRO;;
M-1990-2330;BJERS L:A STENKYRKA;;
M-1994-339;BJERS STENKYRKA;;
M-1994-1010;BJERS TOFTA;;
M-1993-20;BJÄRBY 1:78 (DEL AV) SJONHEM;;
M-1993-462;BJÄRBY 1:78 (DEL AV) SJONHEM;;
M-1991-485;BJÄRBY SJONHEM;;
